,CHK,PWH,PDC,TWH,FGAS,FOIL,QTOT
0,0.54,0.5427546932445686,0.21158551342351,0.5947600837514214,0.1388815296861506,0.8611184703138495,32.358227695767134
1,0.54,0.5427546932445686,0.21158551342351,0.5947600837514214,0.14222218926474078,0.8577738229112568,32.94022463947037
2,0.894000015258789,0.4579996684277393,0.2226543599146565,0.6165547446744989,0.14469719562141195,0.8553028043785881,48.633041573847464
3,0.894000015258789,0.4523113166509212,0.22255587196813487,0.6090290508140511,0.14493835496896373,0.8550557264464029,48.065657208165504
4,0.894000015258789,0.4434854972084365,0.22183893602556654,0.602488126511044,0.1441866094235186,0.8558072247500417,47.096655574603865
5,0.894000015258789,0.4434854972084365,0.22183893602556654,0.602488126511044,0.14073371752309852,0.8592662824769015,46.563505385683314
6,0.894000015258789,0.4365547969818115,0.22056728628362776,0.6050476678887307,0.14254512241047196,0.857454877589528,46.54273742546504
7,0.894000015258789,0.4318260143080568,0.2181371077082516,0.5910232879040288,0.14261329872836834,0.8573867012716316,46.48351794374543
8,0.894000015258789,0.4312586080910504,0.218015523140798,0.6116114738830832,0.14251458954329538,0.8574837745276063,46.29177316855203
9,0.61,0.498373300557921,0.2312930361554785,0.6041723554519586,0.14256762491447816,0.8574323750855218,37.295873606763614
10,0.505,0.5042272800554547,0.21273873604002447,0.5821073142520965,0.13976556904608567,0.8602344309539143,33.537473011900346
11,0.505,0.5027169086765548,0.21320708341194985,0.579709472123706,0.13977855922134014,0.8602214407786599,33.838703365588465
12,0.47,0.5265868698053889,0.2122048019014672,0.5921085304684109,0.14184871584160802,0.8581405951660382,33.71824610667125
13,0.47,0.5265868698053889,0.2122048019014672,0.5921085304684109,0.1418567283792395,0.8581432716207604,33.60399748872545
14,0.47,0.5189558461355009,0.21208163048213988,0.5920911634302086,0.14254949673982506,0.857450503260175,33.299378549400025
15,0.47,0.520441327373091,0.21228610994270045,0.5871624502618629,0.14159287903685205,0.858396292252965,33.65358222439057
16,0.3659999847412109,0.5557937670462473,0.20756925749097552,0.5916741082327707,0.14274525526274698,0.8572547447372529,22.973798611460122
17,0.3659999847412109,0.5595095984446115,0.20804679180709826,0.608196534813775,0.14176315055569466,0.8580974667108865,24.105735508992645
18,0.3659999847412109,0.5619288065471345,0.2077985729906294,0.611353985014416,0.14255709667134608,0.8574429033286539,23.1677434781199
19,0.3659999847412109,0.5621927809875675,0.20772190873557275,0.6097632493885287,0.1425532893766336,0.8574467106233664,23.17835551615272
20,0.3659999847412109,0.5621927809875675,0.20772190873557275,0.6097632493885287,0.14190293658803574,0.8580280689787817,24.112036903137824
21,0.3659999847412109,0.5628470680710289,0.20747751401050246,0.6045618298292497,0.14254643666546446,0.8574535633345356,24.242588739334906
22,0.3659999847412109,0.5628470680710289,0.20747751401050246,0.6045618298292497,0.14174342150447594,0.8580969708123048,24.10580483516657
